Project Name,Label,Mean,Std-dev,Values
spoon,CT11,103.537896728516,14.3257614508602,123.443603515625;74.42919921875;114.29019927978516;115.55570220947266;97.32099914550781;109.2042007446289;95.79180145263672;97.27690124511719;95.99600219726562;88.32859802246094;96.61119842529297;100.65170288085938;115.6436996459961;129.73629760742188;113.6406021118164;117.02339935302734;128.83450317382812;107.2229995727539;118.47709655761719;102.05329895019531;124.29129791259766;99.23709869384766;78.99870300292969;89.83789825439453;88.02230072021484;113.79499816894531;92.12429809570312;89.57350158691406;88.68840026855469;100.0363998413086
spoon,CT12,113.766500854492,14.9329344800199,138.05889892578125;108.53890228271484;87.18820190429688;143.20750427246094;104.0000991821289;124.89140319824219;96.08550262451172;99.26920318603516;98.00340270996094;114.46610260009766;93.8280029296875;106.74420166015625;124.45429992675781;112.99909973144531;118.61229705810547;121.66570281982422;127.02970123291016;127.36109924316406;129.1614990234375;129.18600463867188;131.6269989013672;89.53829956054688;104.37689971923828;95.84400177001953;112.81179809570312;137.822998046875;109.66310119628906;105.53839874267578;107.01409912109375;114.0073013305664
spoon,CT13,318.074578857422,70.2413691137973,396.3501892089844;241.8009033203125;309.1073913574219;429.2301025390625;203.51980590820312;454.72088623046875;242.5126953125;231.42849731445312;247.6024932861328;287.4690856933594;211.17239379882812;291.6733093261719;420.9012145996094;406.5177917480469;351.7171936035156;365.17919921875;388.2455139160156;391.6253967285156;335.5863037109375;297.05889892578125;323.4867858886719;323.3110046386719;385.67919921875;239.89419555664062;272.5375061035156;393.2218933105469;303.3554992675781;286.0173034667969;244.0345001220703;267.28021240234375
spoon,CT14,78.4166460037231,21.3122711069495,108.70939636230469;45.379600524902344;50.23469924926758;113.1010971069336;49.288299560546875;90.83370208740234;71.8718032836914;68.64219665527344;56.249000549316406;69.54979705810547;50.410701751708984;78.79940032958984;114.6249008178711;100.82009887695312;96.3582992553711;100.81999969482422;105.0615005493164;90.51429748535156;99.1312026977539;77.94529724121094;84.4010009765625;58.557498931884766;75.09369659423828;97.73709869384766;60.712100982666016;69.39469909667969;50.54570007324219;60.87900161743164
spoon,CT15,222.324753859947,44.2088015503171,187.04859924316406;230.0471954345703;152.6251983642578;298.4570007324219;199.63949584960938;179.68240356445312;201.37319946289062;157.5843963623047;209.6573028564453;199.71409606933594;215.51710510253906;196.86180114746094;185.66600036621094;259.3630065917969;248.8927001953125;278.11248779296875;220.94509887695312;282.0199890136719;233.00619506835938;307.53900146484375;212.9835968017578;163.33680725097656;178.44309997558594;236.36489868164062;271.82489013671875;244.39869689941406;200.9882049560547;182.28269958496094;313.0426940917969
spoon,CT16,0.305148272421853,0.120460898002302,0.26159998774528503;0.42730000615119934;0.5170999765396118;0.23559999465942383;0.2531999945640564;0.5271999835968018;0.17350000143051147;0.4359999895095825;0.4350000023841858;0.33559998869895935;0.4101000130176544;0.555400013923645;0.2572999894618988;0.3001999855041504;0.3434999883174896;0.2761000096797943;0.3321000039577484;0.1898999959230423;0.2126999944448471;0.21209999918937683;0.11410000175237656;0.22789999842643738;0.15410000085830688;0.12549999356269836;0.22089999914169312;0.24869999289512634;0.46639999747276306;0.2425999939441681;0.35760000348091125
spoon,CT17,0.376243333270152,0.169772723377697,0.5275999903678894;0.4174000024795532;0.6676999926567078;0.06830000132322311;0.4713999927043915;0.3865000009536743;0.28369998931884766;0.17180000245571136;0.24160000681877136;0.40380001068115234;0.2741999924182892;0.6665999889373779;0.3605000078678131;0.4068000018596649;0.4284000098705292;0.763700008392334;0.4934000074863434;0.6431999802589417;0.29269999265670776;0.2215999960899353;0.16269999742507935;0.1679999977350235;0.38839998841285706;0.0835999995470047;0.27149999141693115;0.4424000084400177;0.42250001430511475;0.2574000060558319;0.45410001277923584;0.4458000063896179
spoon,CT18,0.311406896417511,0.162104206591886,0.3370000123977661;0.18209999799728394;0.1834000051021576;0.35269999504089355;0.22460000216960907;0.1898999959230423;0.2946000099182129;0.17389999330043793;0.06129999831318855;0.06279999762773514;0.4480000138282776;0.11980000138282776;0.5162000060081482;0.2955999970436096;0.21400000154972076;0.1039000004529953;0.5590999722480774;0.7836999893188477;0.4512999951839447;0.36230000853538513;0.38199999928474426;0.2280000001192093;0.3068999946117401;0.27000001072883606;0.36649999022483826;0.4553000032901764;0.17630000412464142;0.4390000104904175;0.49059998989105225
spoon,CT19,0.311948274487051,0.162819238160887,0.46050000190734863;0.42500001192092896;0.3043999969959259;0.30959999561309814;0.3221000134944916;0.415800005197525;0.2303999960422516;0.06030000001192093;0.12720000743865967;0.259799987077713;0.23569999635219574;0.7318999767303467;0.2989000082015991;0.23080000281333923;0.06989999860525131;0.5562999844551086;0.4602999985218048;0.45239999890327454;0.2152000069618225;0.5357999801635742;0.1679999977350235;0.4009999930858612;0.0794999971985817;0.10719999670982361;0.21660000085830688;0.5141000151634216;0.4124999940395355;0.2822999954223633;0.16300000250339508
spoon,CT20,0.181907141714224,0.0849346668597652,0.20100000500679016;0.12240000069141388;0.0649000033736229;0.2996000051498413;0.1543000042438507;0.18979999423027039;0.21439999341964722;0.18160000443458557;0.12380000203847885;0.30869999527931213;0.11429999768733978;0.058800000697374344;0.33649998903274536;0.28839999437332153;0.19859999418258667;0.13449999690055847;0.0697999969124794;0.10559999942779541;0.21709999442100525;0.1120000034570694;0.23909999430179596;0.07699999958276749;0.20880000293254852;0.14589999616146088;0.3465999960899353;0.31220000982284546;0.10080000013113022;0.16689999401569366
